商業名稱,負責人,商業所在地,設立時間,登記項目,year,section.y,
餐飲瘋食品館,林添益,臺北市萬華區峨眉街14號1樓,106/05/02,除許可業務外，得經營法令非禁止或限制之業務食品什貨、飲料零售業飲料店業飲酒店業餐館業烘焙炊蒸食品製造業五金零售業日常用品零售業電信器材零售業電池零售業電子材料零售業其他零售業無店面零售業,2017,峨眉街,
三葉草點心坊,陳敬樺,臺北市萬華區昆明街37號1樓,106/05/05,烘焙炊蒸食品製造業食品什貨、飲料零售業,2017,昆明街,
響髮髮型形象店,陳永安,臺北市萬華區成都路27巷9弄7號1樓,106/05/19,美容美髮服務業除許可業務外，得經營法令非禁止,2017,成都路,
紅樓夢食尚館,張廷傑,臺北市萬華區中華路1段218號1樓,106/05/22,餐館業,2017,中華路1段,
億萬來商行,蔡東霖,臺北市萬華區康定路292號1樓,106/06/07,公益彩券經銷業,2017,康定路,
泰恆服飾店,黃子恆,臺北市萬華區西寧南路72之1號,106/06/12,布疋、衣著、鞋、帽、傘、服飾品零售業,2017,西寧南路,
迦新企業社,徐玉女,臺北市萬華區武昌街2段100號1樓及2樓,106/06/14,不動產租賃業不動產買賣業建築經理業仲介服務業管理顧問業一般廣告服務業廣告傳單分送業景觀、室內設計業建材批發業建材零售業室內裝潢業家具、寢具、廚房器具、裝設品零售業國際貿易業除許可業務外，得經營法令非禁止或限制之業務,2017,武昌街2段,
艾瑪國際品牌商行,鄭芷蓉,臺北市萬華區漢中街178號,106/06/15,布疋、衣著、鞋、帽、傘、服飾品零售業首飾及貴金屬零售業化_品零售業乙類成藥零售業無店面零售業國際貿易業除許可業務外，得經營法令非禁止或限制之業務,2017,漢中街,
福來朗點心坊,周思親,臺北市萬華區中華路1段144之23號,106/06/22,烘焙炊蒸食品製造業食品什貨、飲料零售業,2017,中華路1段,
陞發洋行,張仲陞,臺北市萬華區西寧南路36之24號,106/06/26,布疋、衣著、鞋、帽、傘、服飾品零售業,2017,西寧南路,
酷熊企業社,張國村,臺北市萬華區西寧南路48之3號1樓,106/06/30,食品什貨、飲料零售業文教、樂器、育樂用品零售業,2017,西寧南路,
千賀亭日式居酒屋,張瀚云,臺北市萬華區昆明街205號,106/06/03,餐館業飲料店業,2017,昆明街,
熊好呷商號,劉書妍,臺北市萬華區武昌街2段50巷5號1樓,106/07/03,食品什貨、飲料零售業除許可業務外，得經營法令非禁止或限制之業務,2017,武昌街2段,
成都飲品店,莊蔡美玉,臺北市萬華區成都路37號,106/07/03,食品什貨、飲料零售業飲料店業除許可業務外，得經營法令非禁止或限制之業務,2017,成都路,
咩瑞工作室,鄭伊婷,臺北市萬華區西寧南路72之1號,106/07/06,布疋、衣著、鞋、帽、傘、服飾品零售業,2017,西寧南路,
